Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
delay(1),Chrome 77.0.3865.90,,,2019-10-11 16:16:24,2019-10-11 16:16:25,1.003s,PASSED
"verifyTextPresent(""Role code already exists "", false)",Chrome 77.0.3865.90,,,2019-10-11 16:16:25,2019-10-11 16:16:25,0.129s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-10-11 16:16:25,2019-10-11 16:16:26,1.002s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Roles_OR/Add_OR/Add_Role_existing_ShouldgiveerrorMessage/button_OK""))",Chrome 77.0.3865.90,,,2019-10-11 16:16:26,2019-10-11 16:16:26,0.086s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-10-11 16:16:26,2019-10-11 16:16:27,1.002s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Roles_OR/Add_OR/Add_Role_existing_ShouldgiveerrorMessage/button_Cancel""))",Chrome 77.0.3865.90,,,2019-10-11 16:16:27,2019-10-11 16:16:27,0.126s,PASSED
closeBrowser(),Chrome 77.0.3865.90,,,2019-10-11 16:16:27,2019-10-11 16:16:28,0.854s,PASSED
,,,,,,,
Test Cases/Employee/Employee_Role_And_Task/Roles/Edit/Edit_Role_ShouldSucceed,Chrome 77.0.3865.90,Deleting a role should succeed.,,2019-10-11 16:16:28,2019-10-11 16:16:49,20.929s,PASSED
"callTestCase(findTestCase(""Login/AdminLogin_ShouldSucceed""), [:], STOP_ON_FAILURE)",Chrome 77.0.3865.90,,,2019-10-11 16:16:28,2019-10-11 16:16:35,7.197s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Roles_OR/Edit_OR/Edit_Role_ShouldSucceed/edit_role/div_more_vert_hamburgerWrapper""), OPTIONAL)",Chrome 77.0.3865.90,,,2019-10-11 16:16:35,2019-10-11 16:16:35,0.191s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Roles_OR/Edit_OR/Edit_Role_ShouldSucceed/edit_role/a_account_circleEmployee""))",Chrome 77.0.3865.90,,,2019-10-11 16:16:35,2019-10-11 16:16:35,0.152s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Roles_OR/Edit_OR/Edit_Role_ShouldSucceed/edit_role/a_assignmentRole And Task""))",Chrome 77.0.3865.90,,,2019-10-11 16:16:35,2019-10-11 16:16:36,0.169s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-10-11 16:16:36,2019-10-11 16:16:37,1.003s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Roles_OR/Edit_OR/Edit_Role_ShouldSucceed/edit_role/mat-cell_RVINC""))",Chrome 77.0.3865.90,,,2019-10-11 16:16:37,2019-10-11 16:16:41,4.659s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-10-11 16:16:41,2019-10-11 16:16:42,1.003s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Roles_OR/Edit_OR/Edit_Role_ShouldSucceed/edit_role/i_edit""))",Chrome 77.0.3865.90,,,2019-10-11 16:16:42,2019-10-11 16:16:42,0.109s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-10-11 16:16:42,2019-10-11 16:16:43,1.003s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Roles_OR/Edit_OR/Edit_Role_ShouldSucceed/edit_role/div_Search_mat-checkbox-inner-container""))",Chrome 77.0.3865.90,,,2019-10-11 16:16:43,2019-10-11 16:16:43,0.078s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-10-11 16:16:43,2019-10-11 16:16:45,1.002s,PASSED
"check(findTestObject(""Employee/Employee_Role_And_Task_OR/Roles_OR/Edit_OR/Edit_Role_ShouldSucceed/edit_role/mat-pseudo-checkbox_Selected 0_mat-pseudo-checkbox""))",Chrome 77.0.3865.90,,,2019-10-11 16:16:45,2019-10-11 16:16:45,0.079s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-10-11 16:16:45,2019-10-11 16:16:46,1.001s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Roles_OR/Edit_OR/Edit_Role_ShouldSucceed/edit_role/button_Save""))",Chrome 77.0.3865.90,,,2019-10-11 16:16:46,2019-10-11 16:16:46,0.078s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-10-11 16:16:46,2019-10-11 16:16:47,1.003s,PASSED
"verifyTextPresent(""updated successfully"", false)",Chrome 77.0.3865.90,,,2019-10-11 16:16:47,2019-10-11 16:16:47,0.109s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-10-11 16:16:47,2019-10-11 16:16:48,1.003s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Roles_OR/Edit_OR/Edit_Role_ShouldSucceed/edit_role/button_Cancel""))",Chrome 77.0.3865.90,,,2019-10-11 16:16:48,2019-10-11 16:16:48,0.088s,PASSED
closeBrowser(),Chrome 77.0.3865.90,,,2019-10-11 16:16:48,2019-10-11 16:16:49,0.818s,PASSED
,,,,,,,
Test Cases/Employee/Employee/Add Employee/Add_new_Employee_ShouldgiveSuceed,Chrome 77.0.3865.90,Should give error message,,2019-10-11 16:16:49,2019-10-11 16:17:05,16.807s,PASSED
"callTestCase(findTestCase(""Login/AdminLogin_ShouldSucceed""), [:], STOP_ON_FAILURE)",Chrome 77.0.3865.90,,,2019-10-11 16:16:49,2019-10-11 16:16:56,6.989s,PASSED
